Gene	Fold_Change	geneid	Lcord	Rcord	pvaluesGlu	FDRGlu
glmY	-2.53125311729874	b4441	2691157	2691340	0.00689179948968	0.0107681950203923
glnU	101.543930828727	b0670	696865	696939	0.00949711711877588	0.0131184588346828
gpmM	2.09275200098333	b3612	3785260	3786804	0.0202202001576487	0.016831393654291
grcA	2.45232630615897	b2579	2716066	2716449	0.0197181489233144	0.0168551021444702
groL	2.0591070477543	b4143	4371025	4372671	0.00722725134033309	0.0112462356436954
groS	3.49129968026579	b4142	4370688	4370981	0.00406979865237467	0.007183221817239
hisA	2.29514251338356	b2024	2095125	2095862	0.0228588984661009	0.0168890686927152
hokD	4.74771228336088	b1562	1645119	1645274	0.0382573265146263	0.0165178690606382
holE	3.33104029973443	b1842	1925108	1925338	0.0327413235269176	0.0167548314627992
hslV	2.27167600367088	b3932	4121757	4122287	0.00963851894940304	0.0132657143551561
hyaD	2.96151691474295	b0975	1035770	1036357	0.0367380794581447	0.0165361020541557
hyi	16.8355683764774	b0508	535710	536486	0.0278241713243728	0.017026849497169
ibpA	2.11932560177018	b3687	3867009	3867422	0.0181665870500027	0.0166486919912235
insA-3	-3.32547487161086	b0275	291071	291346	0.0492629845153555	0.0158490222127927
iscU	2.30025384411205	b2529	2659903	2660289	0.0185706916214889	0.0168169056495521
isrB	-3.05439992235037	b4434	1987839	1987998	0.0442085930765602	0.0160668711483249
isrC	9.49294951832209	b4435	2071317	2071511	0.0175578055642296	0.0166926761496406
kbaY	2.33805836578182	b3137	3283143	3284003	0.048693674688888	0.0159348041392127
lamB	-5.04839638102204	b4036	4247971	4249311	0.0176452537828612	0.0167340846295984
leuW	-5.50037304185022	b0672	696963	697047	0.0273729166890734	0.0170796894733877
lysQ	2.00572646507008	b0749	781577	781652	0.0208088900055495	0.0168791728957148
lysV	2.28147518086963	b2404	2521253	2521328	0.0153039616881785	0.0163890574256528
malE	-3.81465955121198	b4034	4245229	4246419	0.0298009714007731	0.0170080319627988
malF	-3.74377395537322	b4033	4243531	4245075	0.0390820063910153	0.0163194748378422
malK	-6.1135118714222	b4035	4246784	4247899	0.0129495127718958	0.0152844920752603
malM	-3.58354346657848	b4037	4249554	4250474	0.0179400787289368	0.0166411228931551
metJ	2.77137318510899	b3938	4128078	4128395	0.044424653427946	0.0160993526566671
mglC	-2.16565077555249	b2148	2236743	2237753	0.0468826108189438	0.0160589346076732
moaC	2.19727121422504	b0783	818570	819055	0.00995777564405775	0.013510024055015
moaD	3.82663095325457	b0784	819048	819293	0.0448939068545143	0.0160406915168442
msyB	2.34083991365884	b1051	1113807	1114181	0.0270082625530265	0.0171325607305766
nac	-2.26848165434668	b1988	2061016	2061933	0.0388544858160104	0.0164041420316001
napA	2.121698459281	b2206	2300267	2302753	0.0217488062150575	0.0169215230068594
napC	2.12598634072989	b2202	2297657	2298259	0.0424252957285557	0.0160141395838142
narK	2.70008094354871	b1223	1277957	1279348	0.0457023288210578	0.0159556976244168
narU	12.5809998717827	b1469	1542672	1544060	0.00496820621684213	0.00853191941058793
narY	2.2568478924373	b1467	1537309	1538853	0.0103781564928042	0.0139316315528426
narZ	2.58662491566271	b1468	1538850	1542590	0.00106490708787588	0.00210355811012581
ndh	2.6097673702049	b1109	1166085	1167389	0.0306959957944095	0.0168625154796047
nikC	6.37139911124089	b3478	3616182	3617015	0.0448020009873343	0.0160832198898431
nirB	4.20136720511082	b3365	3494011	3496554	0.00558248424474261	0.00921330887942812
nmpC	-2.13942210414084	b0553	575758	576825	0.00496233947994307	0.00856040482310929
nrdH	2.87095918939793	b2673	2800723	2800968	0.0277480836592854	0.0170624507507652
nrdI	3.30768488087836	b2674	2800965	2801375	0.0145851537003354	0.0162586697331268
orn	2.20748723393586	b4162	4391604	4392149	0.0134895770444075	0.0156792250703746
pfkA	2.37668662105663	b3916	4107552	4108514	0.00403101253352212	0.0071478559841345
ppsA	-5.80884472204053	b1702	1784734	1787112	0.014760893390375	0.0162643476931224
priB	2.46854828747027	b4201	4425520	4425834	0.0248030382470806	0.0172239455404131
pspB	3.80621369238287	b1305	1368801	1369025	0.039380242210673	0.0162306814933035
psuG	17.5986579815749	b2165	2257429	2258367	0.0201549891565881	0.0168877300164753
psuK	6.50527903402835	b2166	2258355	2259296	0.0316248343819555	0.0168154776940512
puuD	-2.06762190461996	b1298	1361120	1361884	0.0364180154755478	0.0165680868558098
puuP	-2.94160944934191	b1296	1357802	1359187	0.00335317967428872	0.00614601470653847
queD	-2.07977836247766	b2765	2892214	2892579	0.0123684830756724	0.015065106518436
rpmC	3.97238830515344	b3312	3448568	3448759	0.0221955464373301	0.0169576396002387
rpmD	2.43804028256238	b3302	3444543	3444722	0.0389071547016199	0.0163719865524351
rpmI	-2.56361068481573	b1717	1799802	1799999	0.0163316687896701	0.0165154084410705
rpsN	2.18257955357826	b3307	3446579	3446884	0.0146667222684925	0.0162545417656644
rsxD	-2.16543647966272	b1630	1709142	1710200	0.0408111142317836	0.0162920294198275
ryfB	-2.45403069146688	b4607	2700059	2700377	0.0234306859922959	0.0169501869966566
ryfD	-3.61067066282114	b4609	2734153	2734295	0.0369321384379954	0.016525894090904
sdhC	-3.37573036910361	b0721	755177	755566	0.00371152276015019	0.00673802997257804
sdhD	-2.55879836112665	b0722	755560	755907	0.012672777169991	0.015145416489036
sibA	-6.79966772358076	b4436	2153311	2153454	0.00530802508289407	0.00887561028128999
sibB	-2.52747885805097	b4437	2153646	2153781	0.0163611819070013	0.0165014830839517
sibC	-3.569311244812	b4446	3056851	3056991	0.0481168389067154	0.0160350813950965
sibD	-4.21608966938188	b4447	3194721	3194865	0.0286616609436978	0.0169674114720946
sibE	-4.29796744664562	b4611	3195097	3195240	0.0159819470211141	0.0164675150012314
spf	-4.65055869885792	b3864	4049899	4050007	0.00775136283060973	0.0118680351556381
spy	2.13787151191745	b1743	1825140	1825625	0.00826880957208098	0.012171478364278
ssuA	3.63720989912954	b0936	995985	996944	0.0154679914719249	0.0163806649862396
ssuB	2.0331360865741	b0933	993277	994044	0.0390487736057791	0.0163773496280953
tolR	2.09103180501418	b0738	775849	776277	0.00617861393148067	0.00998111734476879
topAI	-2.28534376000583	b4566	4533796	4534053	0.0246199198123653	0.0171592939037025
torI	-9.19931544426521	b4501	2476310	2476510	0.0495435119836158	0.0158723025370324
trpR	2.03659660319297	b4393	4632760	4633086	0.0294317547541664	0.0169751961631996
valY	4.13910211677134	b2403	2521173	2521248	0.0432384023220262	0.0160352829873289
valZ	4.57591947730203	b0746	781068	781143	0.0150846839068091	0.0163378030274447
xylB	2.28712389160434	b3564	3727917	3729371	0.0263739206020602	0.0171291849371202
yacC	-2.02391753649374	b0122	136570	136917	0.00802719492470083	0.0120011740370097
yaeP	2.61247390193813	b4406	213925	214125	0.0198078128112571	0.0168561588091354
yahE	-2.28730881943999	b0319	335925	336788	0.0139451023935824	0.0159175178583876
ybeM_1	17.5708978248573	b0625	658031	658258	0.0156236760983613	0.0163637165569834
ybiB	2.07403152721935	b0800	835248	836210	0.0177604828503692	0.0166774190076734
ybiI	2.49325773434189	b0803	838190	838456	0.0254823692049053	0.0172250624407536
ybjQ	2.49720548489071	b0866	904593	904916	0.0317156250656695	0.0168402655681614
ycaK	2.05307733932655	b0901	949668	950258	0.0326717785639429	0.0168094953005677
ycjX	2.37761109164738	b1321	1384117	1385514	0.0169172777900676	0.0167087238415938
ydiH	-6.47278673860174	b1685	1764934	1765122	0.0207460445891817	0.0169362997510486
ydjX	-2.08548820250484	b1750	1833401	1834111	0.0491977797742025	0.0158682170664353
yeaQ	3.06875092943646	b1795	1879007	1879255	0.0212277337846182	0.0167902320910198
yeaR	11.2971252566735	b1797	1879589	1879948	0.0490967029476067	0.0159028869135618
yeeR	13.5343764466973	b2001	2074779	2076311	0.017249820866131	0.016776394400923
yeeS	9.28748315200918	b2002	2076308	2076754	0.0378878607585645	0.0165647049569045
yegJ	3.59448380734097	b2071	2151185	2151646	0.0222449503490362	0.0168938186835197
yfcR	2.18543733503231	b2335	2451072	2451584	0.0265264433528307	0.0170827357292949
yfdX	4.9294211868624	b2375	2493767	2494402	0.002026022620913	0.00388142607201261
yfhH	3.55379626478772	b2561	2698759	2699607	0.0122416829018109	0.0150549576095673
yfjJ	6.72943916775429	b2626	2760547	2761173	0.0437516513237253	0.0160229997129669
ygeH	-6.28110050874484	b2852	2992094	2993470	0.0454740431611886	0.015978423826166
yggU	2.80533089170355	b2953	3096383	3096673	0.0393871089304243	0.0162159808417441
ygiA	-10.0516385351052	b3036	3179596	3179856	0.0162937735495329	0.0165649646566298
yibT	3.30312334522411	b4554	3776171	3776380	0.0283812464443535	0.0170395391489014
yjbR	2.15132121556695	b4057	4270658	4271014	0.0363066576666586	0.0165371595858726
yjcB	2.69711958602526	b4060	4274760	4275041	0.0320153824901157	0.0168121083073025
yjdJ	3.51956005144468	b4127	4352085	4352357	0.000178155758422061	0.000353751867127278
ymfL	9.42985296464869	b1147	1203268	1203825	0.0322323642848579	0.0168102778163033
ymgE	2.12114538147996	b1195	1244728	1244982	0.0408800996078088	0.0162854630932744
ymgG	5.02308054896712	b1172	1222644	1222988	0.0392088329737578	0.0162478609526243
yqeC	-2.81856246485454	b2876	3014287	3015057	0.0451275146655684	0.016004166351205
ytjA	2.35955735232124	b4568	4612128	4612289	0.0487280058824241	0.0159323630325555
